	Bcell_HPCA	DC_HPCA	Fibroblasts_HPCA	MSC_HPCA	Macrophage_HPCA	Monocyte_HPCA	NK cells_HPCA	Tcell_HPCA	Adipocytes_ENCODE	CD4+ Tcell_ENCODE	CD8+ T-cells_ENCODE	Bcell_ENCODE	DC_ENCODE	Eosinophils_ENCODE	Fibroblasts_ENCODE	Macrophage_ENCODE	Monocyte_ENCODE	NK cells_ENCODE
NXF3	1.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	5.0	2.0	2.0	1.0	1.0
NXF5	4.0	4.0	4.0	4.0	4.0	5.0	4.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
NXN	4.0	4.0	10.0	10.0	4.0	4.0	4.0	4.0	5.0	1.0	1.0	3.0	1.0	1.0	8.0	1.0	1.0	1.0
NXNL1	7.0	7.0	7.0	6.0	7.0	7.0	7.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
NXNL2	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
NXPE1	3.0	2.0	2.0	2.0	3.0	3.0	3.0	2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
NXPE3	6.0	5.0	6.0	6.0	5.0	6.0	7.0	7.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
NXPE4	4.0	3.0	3.0	3.0	3.0	4.0	3.0	4.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
NXPH1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
NXPH2	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
NXPH3	7.0	7.0	6.0	6.0	6.0	7.0	6.0	7.0	3.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0
NXPH4	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	1.0	1.0	3.0	1.0	1.0	4.0	1.0	1.0	1.0
NXT1	9.0	8.0	9.0	9.0	8.0	8.0	10.0	9.0	8.0	8.0	8.0	8.0	7.0	6.0	8.0	7.0	9.0	8.0
NXT2	8.0	8.0	7.0	7.0	8.0	8.0	8.0	7.0	6.0	7.0	7.0	6.0	8.0	1.0	6.0	7.0	7.0	8.0
NYAP1	3.0	4.0	3.0	3.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0
NYAP2	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
NYNRIN	3.0	3.0	6.0	6.0	3.0	4.0	4.0	4.0	5.0	1.0	1.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0
NYX	6.0	6.0	6.0	5.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OAF	7.0	7.0	9.0	8.0	8.0	8.0	6.0	7.0	9.0	2.0	2.0	4.0	1.0	1.0	9.0	5.0	7.0	1.0
OARD1	10.0	8.0	8.0	8.0	8.0	8.0	9.0	9.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
OAS1	8.0	9.0	4.0	3.0	9.0	9.0	6.0	7.0	7.0	6.0	7.0	9.0	9.0	6.0	2.0	9.0	9.0	7.0
OAS2	8.0	8.0	5.0	4.0	7.0	9.0	8.0	9.0	6.0	9.0	9.0	9.0	9.0	6.0	3.0	7.0	8.0	9.0
OAS3	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.0	7.0	7.0	4.0	8.0	6.0	5.0	7.0	8.0	6.0
OASL	5.0	7.0	5.0	4.0	6.0	8.0	10.0	8.0	2.0	2.0	4.0	1.0	6.0	7.0	1.0	4.0	8.0	7.0
OAT	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	8.0	9.0	8.0	8.0	7.0	10.0	10.0	10.0	9.0
OAZ1	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0
OAZ2	8.0	10.0	10.0	10.0	9.0	10.0	8.0	8.0	9.0	7.0	7.0	8.0	8.0	10.0	9.0	9.0	9.0	7.0
OAZ3	3.0	5.0	4.0	5.0	4.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0
OBFC1	4.0	3.0	4.0	4.0	3.0	4.0	6.0	6.0	8.0	9.0	9.0	8.0	7.0	9.0	8.0	7.0	8.0	9.0
OBP2A	6.0	6.0	6.0	5.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OBP2B	5.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OBSCN	4.0	3.0	3.0	2.0	3.0	4.0	4.0	4.0	3.0	8.0	7.0	7.0	1.0	5.0	5.0	2.0	1.0	6.0
OBSL1	3.0	4.0	6.0	5.0	4.0	4.0	3.0	3.0	9.0	1.0	1.0	1.0	1.0	1.0	9.0	2.0	1.0	1.0
OC90	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OCA2	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OCEL1	9.0	8.0	8.0	7.0	8.0	8.0	8.0	8.0	5.0	7.0	7.0	8.0	7.0	8.0	5.0	6.0	7.0	8.0
OCIAD1	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	10.0	10.0	10.0	10.0	9.0	10.0	10.0	10.0	10.0
OCIAD2	10.0	7.0	9.0	9.0	7.0	8.0	10.0	10.0	3.0	10.0	10.0	9.0	5.0	6.0	5.0	3.0	4.0	8.0
OCLM	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	5.0	3.0	2.0	6.0	1.0	1.0	1.0	5.0	2.0
OCLN	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.0	3.0	5.0	3.0	6.0	5.0	1.0	1.0	2.0	2.0
OCM	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OCM2	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OCRL	6.0	7.0	8.0	8.0	7.0	7.0	5.0	6.0	7.0	4.0	4.0	3.0	6.0	6.0	7.0	7.0	5.0	1.0
ODAM	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ODC1	10.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	9.0	9.0	10.0	7.0	8.0	9.0	9.0	8.0	8.0
ODF1	5.0	5.0	4.0	3.0	4.0	5.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ODF2	7.0	6.0	6.0	8.0	5.0	6.0	7.0	6.0	7.0	8.0	8.0	8.0	7.0	8.0	8.0	7.0	8.0	8.0
ODF2L	3.0	2.0	4.0	4.0	2.0	2.0	5.0	5.0	9.0	10.0	10.0	9.0	7.0	9.0	8.0	7.0	7.0	9.0
ODF3	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ODF3B	5.0	5.0	5.0	4.0	5.0	6.0	4.0	4.0	6.0	2.0	3.0	8.0	9.0	7.0	4.0	6.0	9.0	4.0
ODF3L1	3.0	2.0	2.0	3.0	3.0	3.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ODF3L2	6.0	6.0	5.0	5.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ODF4	5.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OFCC1	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
OFD1	10.0	8.0	8.0	8.0	8.0	8.0	10.0	10.0	7.0	9.0	9.0	9.0	8.0	9.0	6.0	7.0	8.0	9.0
OGDH	6.0	7.0	6.0	7.0	7.0	7.0	7.0	7.0	9.0	8.0	9.0	8.0	9.0	9.0	9.0	9.0	9.0	9.0
OGDHL	5.0	5.0	5.0	4.0	4.0	5.0	4.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OGFOD1	8.0	9.0	9.0	10.0	9.0	8.0	8.0	9.0	8.0	8.0	7.0	7.0	8.0	8.0	9.0	8.0	6.0	7.0
OGFOD2	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	5.0	7.0	7.0	8.0	6.0	9.0	7.0	7.0	6.0	7.0
OGFOD3	7.0	7.0	8.0	7.0	8.0	7.0	7.0	6.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
OGFR	8.0	8.0	8.0	7.0	8.0	9.0	8.0	8.0	8.0	9.0	8.0	9.0	9.0	10.0	8.0	9.0	8.0	9.0
OGFRL1	8.0	10.0	7.0	7.0	9.0	10.0	8.0	6.0	9.0	6.0	7.0	7.0	10.0	6.0	7.0	9.0	9.0	8.0
OGFRP1	7.0	7.0	7.0	6.0	7.0	7.0	7.0	7.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
OGG1	7.0	5.0	5.0	6.0	5.0	6.0	6.0	6.0	7.0	7.0	7.0	9.0	7.0	9.0	8.0	7.0	7.0	8.0
OGN	1.0	1.0	3.0	2.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0
OGT	9.0	9.0	9.0	8.0	8.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	10.0	10.0	10.0
OIP5	6.0	3.0	5.0	7.0	3.0	3.0	4.0	4.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	1.0	1.0
OIP5-AS1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	9.0	9.0	9.0	9.0	9.0	10.0	8.0	9.0	9.0	9.0
OIT3	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OLA1	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	9.0	9.0	9.0	9.0	9.0	6.0	9.0	9.0	9.0	9.0
OLAH	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OLFM1	3.0	2.0	5.0	2.0	3.0	5.0	2.0	3.0	7.0	1.0	1.0	1.0	1.0	1.0	4.0	2.0	4.0	1.0
OLFM2	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	7.0	4.0	4.0	1.0	1.0	8.0	5.0	1.0	1.0	1.0
OLFM3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OLFM4	1.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	4.0	1.0	1.0	8.0	1.0	1.0	3.0	1.0
OLFML1	1.0	1.0	5.0	2.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0
OLFML2A	5.0	4.0	5.0	7.0	4.0	4.0	4.0	5.0	7.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0
OLFML2B	3.0	5.0	6.0	7.0	6.0	6.0	3.0	3.0	7.0	1.0	1.0	1.0	1.0	1.0	5.0	7.0	1.0	1.0
OLFML3	3.0	5.0	10.0	10.0	4.0	3.0	2.0	4.0	9.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	1.0	1.0
OLIG1	1.0	1.0	1.0	1.0	3.0	8.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	1.0	6.0	1.0
OLIG2	2.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	8.0	1.0	1.0	3.0	1.0
OLIG3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OLR1	1.0	8.0	5.0	4.0	8.0	6.0	1.0	1.0	3.0	1.0	4.0	1.0	7.0	7.0	3.0	8.0	9.0	1.0
OMA1	9.0	6.0	7.0	8.0	7.0	8.0	8.0	9.0	7.0	9.0	9.0	9.0	8.0	7.0	7.0	8.0	8.0	10.0
OMD	1.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0
OMG	5.0	4.0	3.0	3.0	4.0	5.0	4.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0
OMP	2.0	3.0	3.0	2.0	3.0	3.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ONECUT1	3.0	3.0	2.0	2.0	3.0	3.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ONECUT2	2.0	3.0	2.0	2.0	2.0	3.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ONECUT3	5.0	5.0	4.0	4.0	5.0	5.0	4.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OOEP	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OOSP2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
OPA1	7.0	7.0	8.0	8.0	7.0	7.0	8.0	8.0	9.0	9.0	9.0	9.0	10.0	9.0	9.0	10.0	9.0	9.0
OPA3	5.0	6.0	5.0	5.0	6.0	5.0	6.0	5.0	5.0	4.0	5.0	5.0	6.0	6.0	6.0	6.0	5.0	4.0
OPALIN	3.0	4.0	3.0	4.0	4.0	4.0	3.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OPCML	3.0	3.0	4.0	4.0	2.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OPHN1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.0	1.0	1.0	1.0	1.0	1.0	5.0	5.0	3.0	1.0
OPLAH	3.0	5.0	6.0	4.0	6.0	5.0	3.0	3.0	6.0	1.0	1.0	1.0	6.0	6.0	7.0	7.0	5.0	1.0
OPN1LW	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OPN1MW	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OPN1MW2	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OPN1SW	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OPN3	7.0	9.0	8.0	8.0	9.0	9.0	7.0	7.0	7.0	6.0	7.0	8.0	8.0	6.0	7.0	9.0	7.0	6.0
OPN4	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OPN5	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OPRD1	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OPRK1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OPRL1	5.0	5.0	4.0	4.0	4.0	5.0	4.0	4.0	1.0	1.0	2.0	6.0	6.0	8.0	1.0	5.0	4.0	1.0
OPRM1	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OPRPN	3.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
OPTC	6.0	5.0	5.0	5.0	5.0	5.0	5.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OPTN	6.0	8.0	10.0	9.0	9.0	7.0	10.0	10.0	9.0	9.0	9.0	8.0	10.0	6.0	9.0	9.0	7.0	10.0
OR10A2	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10A3	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10A4	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10A5	4.0	4.0	3.0	3.0	4.0	4.0	4.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10A7	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10AD1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10AG1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10C1	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
OR10G2	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10G3	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10G4	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10G7	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10G8	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10G9	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10H1	5.0	5.0	4.0	3.0	5.0	5.0	5.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10H2	1.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10H3	2.0	2.0	2.0	1.0	2.0	2.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10H4	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10H5	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10J1	4.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10J3	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10J5	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10K1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10K2	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10P1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10Q1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10R2	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10S1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10T2	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10V1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10W1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10X1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR10Z1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR11A1	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR11G2	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR11H1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR11H12	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR11H2	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR11H4	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR11H6	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR11L1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR12D2	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
OR12D3	3.0	3.0	3.0	3.0	3.0	4.0	3.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR13A1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
OR13C2	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR13C3	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR13C4	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR13C5	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR13C8	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR13C9	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR13D1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR13F1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR13G1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR13H1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR13J1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR14A16	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
OR14C36	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
