	Bcell_HPCA	DC_HPCA	Fibroblasts_HPCA	MSC_HPCA	Macrophage_HPCA	Monocyte_HPCA	NK cells_HPCA	Tcell_HPCA	Adipocytes_ENCODE	CD4+ Tcell_ENCODE	CD8+ T-cells_ENCODE	Bcell_ENCODE	DC_ENCODE	Eosinophils_ENCODE	Fibroblasts_ENCODE	Macrophage_ENCODE	Monocyte_ENCODE	NK cells_ENCODE
ABHD14A-ACY1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0
ABHD14B	9.0	8.0	9.0	8.0	9.0	8.0	8.0	9.0	9.0	9.0	9.0	9.0	7.0	7.0	8.0	8.0	8.0	8.0
ABHD15	7.0	7.0	6.0	6.0	7.0	6.0	9.0	7.0	8.0	5.0	6.0	7.0	7.0	8.0	6.0	7.0	5.0	9.0
ABHD16A	8.0	9.0	8.0	8.0	9.0	9.0	9.0	8.0	8.0	9.0	9.0	9.0	10.0	10.0	8.0	9.0	9.0	9.0
ABHD16B	4.0	4.0	4.0	3.0	4.0	4.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ABHD17B	8.0	7.0	7.0	8.0	7.0	7.0	9.0	8.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
ABHD17C	4.0	5.0	9.0	8.0	5.0	5.0	6.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
ABHD18	6.0	5.0	5.0	4.0	5.0	6.0	7.0	7.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
ABHD2	6.0	8.0	6.0	8.0	9.0	8.0	9.0	7.0	9.0	8.0	8.0	7.0	9.0	10.0	8.0	10.0	10.0	9.0
ABHD3	9.0	9.0	7.0	7.0	9.0	9.0	9.0	9.0	6.0	9.0	9.0	9.0	8.0	8.0	5.0	8.0	8.0	9.0
ABHD4	8.0	9.0	9.0	8.0	8.0	8.0	8.0	8.0	7.0	5.0	5.0	6.0	7.0	8.0	8.0	7.0	7.0	7.0
ABHD5	5.0	6.0	7.0	6.0	7.0	7.0	7.0	5.0	10.0	6.0	7.0	6.0	8.0	8.0	8.0	9.0	9.0	7.0
ABHD6	6.0	7.0	5.0	6.0	7.0	7.0	5.0	4.0	7.0	3.0	4.0	3.0	7.0	7.0	6.0	8.0	6.0	6.0
ABHD8	6.0	6.0	5.0	5.0	6.0	6.0	5.0	5.0	6.0	5.0	5.0	7.0	7.0	7.0	7.0	7.0	5.0	6.0
ABI1	10.0	10.0	9.0	9.0	10.0	10.0	10.0	10.0	9.0	9.0	9.0	9.0	10.0	8.0	9.0	10.0	10.0	10.0
ABI2	8.0	7.0	8.0	9.0	7.0	7.0	8.0	8.0	7.0	7.0	7.0	5.0	7.0	1.0	8.0	7.0	6.0	7.0
ABI3	9.0	7.0	6.0	6.0	8.0	9.0	9.0	8.0	3.0	6.0	8.0	7.0	6.0	5.0	1.0	7.0	8.0	10.0
ABI3BP	1.0	1.0	9.0	6.0	1.0	1.0	2.0	1.0	9.0	1.0	1.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0
ABL1	8.0	8.0	9.0	10.0	9.0	8.0	9.0	8.0	9.0	8.0	7.0	7.0	7.0	8.0	9.0	7.0	7.0	8.0
ABL2	7.0	9.0	8.0	8.0	9.0	7.0	7.0	7.0	9.0	7.0	6.0	5.0	8.0	6.0	8.0	9.0	5.0	6.0
ABLIM1	10.0	6.0	8.0	7.0	5.0	7.0	9.0	10.0	9.0	10.0	10.0	9.0	6.0	6.0	5.0	3.0	4.0	9.0
ABLIM2	5.0	5.0	4.0	4.0	5.0	5.0	5.0	6.0	5.0	2.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
ABLIM3	5.0	4.0	7.0	7.0	5.0	5.0	4.0	4.0	9.0	1.0	1.0	1.0	1.0	1.0	8.0	4.0	2.0	1.0
ABO	4.0	5.0	4.0	4.0	5.0	5.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	1.0
ABR	7.0	9.0	7.0	8.0	9.0	8.0	8.0	7.0	9.0	9.0	8.0	8.0	10.0	10.0	9.0	10.0	9.0	9.0
ABRA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ABRACL	10.0	9.0	9.0	8.0	10.0	10.0	10.0	10.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
ABT1	9.0	9.0	8.0	9.0	9.0	9.0	9.0	9.0	6.0	8.0	8.0	8.0	6.0	7.0	7.0	7.0	8.0	8.0
ABTB1	7.0	7.0	6.0	5.0	7.0	8.0	7.0	7.0	8.0	9.0	8.0	9.0	8.0	10.0	6.0	7.0	8.0	8.0
ABTB2	5.0	6.0	6.0	5.0	5.0	6.0	5.0	5.0	2.0	1.0	1.0	1.0	9.0	10.0	4.0	1.0	1.0	1.0
ACAA1	9.0	9.0	9.0	9.0	10.0	10.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	10.0	8.0	9.0	9.0	9.0
ACAA2	7.0	7.0	7.0	7.0	7.0	7.0	6.0	6.0	10.0	8.0	8.0	8.0	9.0	7.0	9.0	10.0	9.0	9.0
ACACA	8.0	8.0	9.0	9.0	8.0	7.0	8.0	8.0	9.0	7.0	7.0	7.0	8.0	7.0	9.0	7.0	7.0	7.0
